resource,case:concept:name,case:creator,concept:name,org:resource,time:timestamp
Rupert Madden-Abbott,The issue is open and ready for the assignee to start work on it.,Rupert Madden-Abbott,Open,,2018-01-22 10:11:31
sammax,The issue is open and ready for the assignee to start work on it.,sammax,Open,,2018-01-19 09:53:44
Razvan Popian,The issue is open and ready for the assignee to start work on it.,Razvan Popian,Open,,2017-12-20 15:36:31
rajashekar thatipamula,The issue is open and ready for the assignee to start work on it.,rajashekar thatipamula,Open,,2017-12-05 14:38:35
dev,The issue is open and ready for the assignee to start work on it.,dev,Open,,2017-10-26 02:15:50
fengqing,The issue is open and ready for the assignee to start work on it.,fengqing,Open,,2017-09-19 09:21:14
Yogesh Jadhav,The issue is open and ready for the assignee to start work on it.,Yogesh Jadhav,Open,,2017-06-29 01:50:18
Mithunprasad,The issue is open and ready for the assignee to start work on it.,Mithunprasad,Open,,2017-06-24 19:18:48
Raghavender,The issue is open and ready for the assignee to start work on it.,Raghavender,Open,,2016-10-20 09:04:11
sonali,The issue is open and ready for the assignee to start work on it.,sonali,Open,,2016-09-08 13:31:26
yashasvi singh,The issue is open and ready for the assignee to start work on it.,yashasvi singh,Open,,2016-07-05 10:19:30
Aaron Axisa,The issue is open and ready for the assignee to start work on it.,Aaron Axisa,Open,,2016-04-25 20:34:23
Ian Mortimer,The issue is open and ready for the assignee to start work on it.,Ian Mortimer,Open,,2016-01-07 22:30:28
marc schipperheyn,The issue is open and ready for the assignee to start work on it.,marc schipperheyn,Open,,2015-11-14 14:46:51
sathish kumar,The issue is open and ready for the assignee to start work on it.,sathish kumar,Open,,2015-11-02 16:22:19
Levindo Gabriel Taschetto Neto,The issue is open and ready for the assignee to start work on it.,Levindo Gabriel Taschetto Neto,Open,,2015-07-09 17:09:48
Spase Markovski,The issue is open and ready for the assignee to start work on it.,Spase Markovski,Open,,2015-05-11 03:43:20
Amardeep Singh,The issue is open and ready for the assignee to start work on it.,Amardeep Singh,Open,,2015-04-23 11:16:37
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2014-04-30 11:12:41
Srinivas Devatha,The issue is open and ready for the assignee to start work on it.,Srinivas Devatha,Open,,2014-03-11 15:54:57
Michael Meadows,The issue is open and ready for the assignee to start work on it.,Michael Meadows,Open,,2013-10-03 09:35:01
Harsh Gupta,The issue is open and ready for the assignee to start work on it.,Harsh Gupta,Open,,2013-09-14 04:39:34
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2013-07-31 06:30:48
Roy Clarkson,"This issue was once resolved, but the resolution was deemed incorrect. From here issues are either marked assigned or resolved.",Roy Clarkson,Reopened,Roy Clarkson,2013-05-20 21:47:57
njain,The issue is open and ready for the assignee to start work on it.,njain,Open,,2013-05-06 10:45:34
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Craig Walls,2013-05-03 06:42:01
Dharaneesh T Gowda,The issue is open and ready for the assignee to start work on it.,Dharaneesh T Gowda,Open,,2013-02-28 23:07:30
Craig Walls,The issue is open and ready for the assignee to start work on it.,Craig Walls,Open,,2012-12-18 08:45:48
Alexandre Santos,The issue is open and ready for the assignee to start work on it.,Alexandre Santos,Open,,2012-12-17 08:30:06
Evariste Galois,The issue is open and ready for the assignee to start work on it.,Evariste Galois,Open,,2012-11-19 03:26:52
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-10-08 13:50:31
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-10-08 13:34:47
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-10-08 13:30:41
Roy Clarkson,"The issue is considered finished, the resolution is correct. Issues which are not closed can be reopened.",Roy Clarkson,Closed,Roy Clarkson,2012-10-04 08:46:43
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Roy Clarkson,2012-09-27 06:39:05
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-09-26 13:43:01
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-09-26 13:36:57
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Roy Clarkson,2012-09-24 20:32:17
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-09-21 06:10:04
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-09-20 12:17:53
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Roy Clarkson,2012-09-19 23:48:04
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-09-19 23:45:56
Roy Clarkson,"The issue is considered finished, the resolution is correct. Issues which are not closed can be reopened.",Roy Clarkson,Closed,Roy Clarkson,2012-09-19 15:32:00
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Roy Clarkson,2012-09-19 15:30:16
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-09-19 14:11:56
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Roy Clarkson,2012-09-19 12:08:56
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Roy Clarkson,2012-09-19 12:05:52
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-09-19 12:04:09
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-09-19 12:00:40
Jasdeep Hundal,"The issue is considered finished, the resolution is correct. Issues which are not closed can be reopened.",Jasdeep Hundal,Closed,,2012-09-17 11:44:12
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,,2012-08-29 22:47:37
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-29 22:38:27
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-29 21:53:07
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-29 21:52:09
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-29 21:50:08
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-08-29 20:59:31
Roy Clarkson,"The issue is considered finished, the resolution is correct. Issues which are not closed can be reopened.",Roy Clarkson,Closed,,2012-08-29 20:58:35
chaoliu,The issue is open and ready for the assignee to start work on it.,chaoliu,Open,,2012-08-16 16:47:56
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,,2012-08-16 06:21:51
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-15 13:49:13
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,,2012-08-13 20:52:41
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,,2012-08-13 20:48:28
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-13 13:13:23
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-10 11:30:21
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-09 10:51:28
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-07 08:58:29
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-07 07:53:29
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-08-07 07:44:28
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-30 05:37:22
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-11 07:27:32
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-10 11:11:49
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-05 12:44:20
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-05 11:22:56
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Roy Clarkson,2012-07-05 08:12:40
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Roy Clarkson,2012-07-05 08:12:15
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Roy Clarkson,2012-07-05 08:11:38
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Roy Clarkson,2012-07-05 08:10:44
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Roy Clarkson,2012-07-05 08:10:26
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Craig Walls,2012-07-05 08:09:34
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Roy Clarkson,2012-07-05 08:08:36
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:40:11
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:11
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:40:11
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:40:11
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:11
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:11
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:10
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:10
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:10
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:10
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:10
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:09
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:08
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:40:08
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:40:08
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,,2012-07-04 12:40:08
Craig Walls,The issue is open and ready for the assignee to start work on it.,Craig Walls,Open,,2012-07-04 12:40:08
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:40:08
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:40:08
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:40:07
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:07
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:40:07
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:40:07
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:40:06
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:40:06
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:06
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:06
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:06
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:06
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:06
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:06
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:40:05
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:05
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Keith Donald,2012-07-04 12:40:05
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Craig Walls,2012-07-04 12:40:05
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:40:05
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:40:05
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:04
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:04
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:04
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:40:04
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:40:04
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:40:04
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:40:04
Craig Walls,The issue is open and ready for the assignee to start work on it.,Craig Walls,Open,,2012-07-04 12:40:04
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Craig Walls,2012-07-04 12:40:04
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:40:04
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:40:03
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:03
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:40:03
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:03
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:40:03
Craig Walls,The issue is open and ready for the assignee to start work on it.,Craig Walls,Open,,2012-07-04 12:40:02
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:40:02
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:02
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:40:02
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:40:02
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:40:02
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:40:01
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Keith Donald,2012-07-04 12:40:01
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:40:01
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:40:01
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:40:01
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:40:01
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:40:01
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:40:00
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:39:59
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:59
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Keith Donald,2012-07-04 12:39:59
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:59
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:39:59
Craig Walls,The issue is open and ready for the assignee to start work on it.,Craig Walls,Open,,2012-07-04 12:39:59
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:39:59
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Craig Walls,2012-07-04 12:39:59
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:39:59
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,Keith Donald,2012-07-04 12:39:59
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:59
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:39:58
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Keith Donald,2012-07-04 12:39:58
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Keith Donald,2012-07-04 12:39:58
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:58
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:58
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:39:58
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:39:57
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:57
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:39:57
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:57
Roy Clarkson,The issue is open and ready for the assignee to start work on it.,Roy Clarkson,Open,Keith Donald,2012-07-04 12:39:57
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,,2012-07-04 12:39:57
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:57
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Craig Walls,2012-07-04 12:39:56
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:39:56
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:39:56
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:39:56
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:39:56
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,,2012-07-04 12:39:55
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:39:55
Craig Walls,The issue is open and ready for the assignee to start work on it.,Craig Walls,Open,,2012-07-04 12:39:55
Craig Walls,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Craig Walls,Resolved,Craig Walls,2012-07-04 12:39:55
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,,2012-07-04 12:39:55
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:55
Keith Donald,The issue is open and ready for the assignee to start work on it.,Keith Donald,Open,,2012-07-04 12:39:55
Keith Donald,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Keith Donald,Resolved,Keith Donald,2012-07-04 12:39:54
Roy Clarkson,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",Roy Clarkson,Resolved,Roy Clarkson,2012-07-04 12:39:54
